a             +16 YT        
able          +1 PT         
about         +1 PT         
access        +1 YT         
acts          +1 PT - ZERO  
actually      +1 PT         
ad            +1 PT - ZERO  
addition      +1 PT - ZERO  
after         +1 PT         
afterwards    +1 PT - ZERO  
again         +3 PT         
agrowill      +1 PT - ZERO  
ahead         +1 YT         
all           +4 YT         
almost        +1 YT - ZERO  
along         +2 YT         
alright       +1 YT - ZERO  
also          +3 YT         
although      +1 PT - ZERO  
always        +1 YT         
am            +1 YT         
amane         +1 PT - ZERO  
amazed        +1 PT - ZERO  
amazing       +1 YT - ZERO  
an            +3 YT         
and           +20 PT        
angled        +1 YT - ZERO  
anglophiles   +1 PT - ZERO  
animal        +1 PT - ZERO  
another       +2 YT         
answer        +2 YT         
any           +1 YT         
anything      +1 YT         
anyway        +1 YT         
arbutus       +1 YT - ZERO  
are           +2 PT         
around        +1 PT         
as            +4 PT         
ask           +2 PT         
asked         +2 YT         
asks          +1 YT - ZERO  
ass           +1 PT - ZERO  
assume        +1 PT         
at            +2 PT         
attendant     +1 YT - ZERO  
b             +2 YT         
back          +3 YT         
background    +1 PT - ZERO  
backpack      +1 YT - ZERO  
backup        +1 PT         
bad           +1 YT         
bar           +1 YT - ZERO  
barbara       +1 PT - ZERO  
barred        +1 PT - ZERO  
bat           +1 YT - ZERO  
be            +2 YT         
bear          +2 YT - ZERO  
been          +1 YT         
before        +1 YT         
bet           +3 YT         
big           +1 PT         
bill          +1 PT - ZERO  
bloc          +1 PT - ZERO  
block         +1 YT         
blocks        +1 YT         
blog          +1 PT - ZERO  
book          +1 YT - ZERO  
bought        +1 PT - ZERO  
boxes         +1 YT - ZERO  
breaking      +1 YT         
bring         +1 PT - ZERO  
brought       +1 YT - ZERO  
budget        +1 PT - ZERO  
build         +2 YT         
but           +8 YT         
bye           +1 YT - ZERO  
c             +7 YT - ZERO  
c++           +1 PT - ZERO  
cac           +1 PT - ZERO  
call          +3 PT         
called        +6 YT         
calling       +1 YT         
can           +8 YT         
card          +1 PT - ZERO  
cases         +1 PT - ZERO  
causing       +1 PT - ZERO  
cbd           +1 PT - ZERO  
change        +1 YT         
changed       +2 YT         
chern         +1 PT - ZERO  
chest         +1 PT - ZERO  
choice        +1 PT - ZERO  
circuit       +1 PT - ZERO  
cleared       +1 PT - ZERO  
clue          +1 PT - ZERO  
coat          +1 PT - ZERO  
code          +2 YT         
coke          +3 YT         
cole          +1 YT - ZERO  
come          +1 PT         
coming        +1 YT - ZERO  
comma         +1 YT         
common        +1 PT         
computer      +1 PT - ZERO  
concept       +1 YT - ZERO  
conscience    +1 PT - ZERO  
cool          +1 PT - ZERO  
creating      +1 YT         
credit        +1 PT - ZERO  
d             +1 YT - ZERO  
day           +1 PT         
dead          +1 YT - ZERO  
deaf          +2 PT - ZERO  
dealt         +1 PT - ZERO  
death         +1 PT - ZERO  
declared      +1 YT         
def           +4 YT         
define        +1 YT         
definitely    +1 PT         
depth         +1 YT - ZERO  
describe      +1 PT - ZERO  
describes     +1 YT - ZERO  
desk          +1 PT - ZERO  
deverill      +1 PT - ZERO  
didn't        +1 PT         
division      +1 PT - ZERO  
do            +7 YT         
does          +4 YT         
doesn't       +1 YT         
doing         +1 PT         
domain        +1 YT - ZERO  
done          +3 YT         
door          +1 PT - ZERO  
dot           +1 YT - ZERO  
draw          +1 PT         
dress         +1 YT - ZERO  
drive         +1 YT - ZERO  
dysfunction   +2 PT - ZERO  
earlier       +1 PT - ZERO  
earth         +1 PT - ZERO  
easy          +2 YT         
eat           +3 YT - ZERO  
economy       +1 PT - ZERO  
eight         +2 PT - ZERO  
else          +1 PT         
empty         +1 PT         
end           +2 PT         
ended         +1 PT - ZERO  
entire        +1 PT         
equal         +1 YT         
equals        +1 YT         
event         +1 PT - ZERO  
everybody     +2 YT         
exactly       +1 YT         
eye           +1 PT - ZERO  
f             +1 PT         
false         +2 YT - ZERO  
fancy         +1 PT - ZERO  
file          +2 YT - ZERO  
files         +1 PT - ZERO  
finally       +1 YT         
find          +3 YT         
finish        +2 YT         
fire          +1 PT - ZERO  
fly           +1 PT - ZERO  
food          +2 YT         
foot          +1 PT - ZERO  
for           +3 PT         
forward       +1 YT - ZERO  
four          +4 PT         
fpy           +1 YT - ZERO  
fridge        +2 YT         
friend        +1 PT - ZERO  
from          +4 PT         
fruit         +1 PT - ZERO  
function      +6 PT         
functional    +1 PT - ZERO  
functioned    +1 PT - ZERO  
functions     +4 YT         
garbage       +1 YT - ZERO  
gave          +1 YT - ZERO  
gentleman     +2 YT         
gentlemen     +1 YT         
get           +6 YT         
gets          +1 YT - ZERO  
give          +4 PT         
globally      +1 PT         
globals       +1 YT - ZERO  
go            +3 YT         
gobbledygook  +1 PT - ZERO  
goes          +1 PT         
going         +2 PT         
gone          +1 PT         
good          +6 PT         
got           +2 PT         
gotten        +1 YT         
grab          +1 YT         
great         +1 YT         
growth        +1 YT - ZERO  
guards        +1 PT - ZERO  
guess         +1 PT         
handle        +1 PT - ZERO  
